URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/commercial/auckland-city/avondale/industrial/4092297,"597 Rosebank Road, Avondale",For sale by negotiation,"PRIME FREEHOLD INVESTMENT ON ROSEBANK ROAD

Positioned in one of Auckland’s most sought-after commercial and industrial precincts, this substantial Freehold property offers outstanding exposure, strong holding income, and excellent long-term potential.

The property comprises a mix of warehouse and office tenancies, generating diversified rental income and supported by a generous number of on-site car parks. Located just minutes from the CBD and key motorway routes, the site benefits from the connectivity offered by the Waterview Tunnel linking West Auckland, Auckland Airport, and Manukau.

KEY FEATURES:

Property type - warehouse/office
Land area of 4,168m² (Freehold)
Building area of 1,817m²
Possible income of $577,303.28 p.a. (fully leased, excl. GST)
Frontage of approx. 90 metres on Rosebank Road
71 on-site car parks (covered and uncovered)
Strategic location with easy access to the CBD and major transport links

A rare opportunity to secure a large, income-generating Freehold site in one of Auckland’s most tightly held commercial locations.

Contact the sole agent today for further information or to arrange an inspection.

Read more",Rohit Khanna : 021734 514
https://www.barfoot.co.nz/property/commercial/auckland-city/avondale/industrial/4102859,"Unit 5/164 Saint Georges Road, Avondale","For Sale $430,000Plus GST (if any)","BITE-SIZED WAREHOUSE - FANTASTIC VALUE

Here is a fantastic small investment opportunity that you won't want to miss.

Unit 5, 164 Saint Georges Road, Avondale, is one of 12 units in this well-located development in Avondale. This particular unit benefits from its high-profile, road front position, as well as roller door access to the rear of the unit. The unit is located near Wolverton Street, a main, four-lane road that links Blockhouse Bay Road to New Lynn, and is well-positioned to take advantage of the high traffic count and the large customer base that frequents this thriving area.

KEY FEATURES:

Value for your money
Rent in the area for small units at an early $20,000 per annum + GST and OPEX
Approximately 80m² floor area
Roller door access
High stud for easy access, approximately 3x3 metres
Two car parks per title
Fantastic profile
Light Industry zoning
Bonus mezzanine of 15m² (unconsented)
Tidy property
High ratio of warehouse to office/amenities
Suitable for tradesmen, storage, and workshop use

These units rarely come to market. Please get in touch with the sole agent today to arrange a viewing (strictly by appointment only).

Make your next move the best move.

Read more",Meir Alfassi : 021221 0155
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/4066194,"246-254 Karangahape Road, City Centre","For Sale $350,000Plus GST (if any)","AUCKLAND HOSTEL BUSINESS FOR SALE 

Located on Karangahape Road in Auckland Central, a popular destination for international travellers and visitors on a budget, as well as working holiday visa holders. It is especially popular among South American visitors.

This hostel offers 48 guest rooms in a variety of room types, all well-maintained with shared kitchens and bathrooms.

A separate manager's residence, with two bedrooms, is available for the owner, manager, and staff.

Potential buyers are required to sign a confidentiality agreement to receive financial and lease details.

The asking price is $350,000 + GST (if any) negotiable.

For further details or viewings, please contact the listing agent Chris Park at c.park@barfoot.co.nz or on 021 273 3400.

Read more",Chris Park : 021273 3400
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/4075570,City Centre,For sale by negotiation,"URGENT SALE - CITY RESTAURANT AND BAR 

For sale by deadline private treaty closing 2:00 pm, Thursday 26 June 2025.

LIMITED-TIME DEAL – OWNER MUST SELL! 

Own a thriving city restaurant and bar for a fraction of the cost! This turnkey business is priced to sell fast - don’t miss this rare opportunity.

BUSINESS HIGHLIGHTS:

Prime high-traffic location – strong foot traffic and visibility
Fully fitted out kitchen and bar – ready to operate immediately
Active liquor license – no delays, start serving drinks and food right away
Established clientele – steady revenue from day one
Bargain asking price – below market value

Note: Financials, lease details, and chattels list available upon signed NDA. Inspections welcome.

Read more",Justin Lowe : 027834 3608
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/4076634,City Centre,For sale by negotiation,"PRIME CBD CORNER - TURNKEY SETUP FOR SALE

Lease takeover and setup cost only.

A rare opportunity to secure a fully fitted, operational business setup in a proven, high-traffic CBD corner location. Open and trading for several months with a steady customer flow, this space is ready for immediate takeover under your own brand or concept.

The current owners are stepping away to focus on their core business and are offering this opportunity at setup cost and lease transfer only.

KEY FEATURES:

Proven CBD corner location - exceptional exposure, steady foot traffic, and high local visibility in a tightly held area
Fully fitted and operational - modern fitout, quality equipment, and a spacious layout - walk in and start trading
Trading with established footfall - already attracting regular customers, with huge potential to grow
Attractive lease terms - affordable rent with a long-term lease available, providing security and flexibility
High-impact street frontage - large glass windows, strong curb appeal, and flexible space suitable for retail, food, or services

For further details or viewings, please contact the listing agent, Justin Lowe, at j.lowe@barfoot.co.nz or on 027 834 3608.

Read more",Justin Lowe : 027834 3608
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/4101235,City Centre,For sale by negotiation,"WELL-ESTABLISHED THAI TAKEAWAY BUSINESS FOR SALE

A great opportunity to take over a well-established and highly regarded Thai takeaway in the heart of Auckland CBD. The business has built a strong reputation and a loyal, regular customer base. It is well-suited for an experienced Thai food operator or a hands-on owner-operator looking for a proven and stable business with further growth potential.

KEY HIGHLIGHTS:

Established Thai takeaway with solid reputation
Consistent weekly turnover of approximately $6,300
Prime central CBD location with strong foot traffic
Currently trading Monday to Friday only, with capacity to extend hours and increase revenue
Suitable for an experienced operator or family-run business
Fully set up and operating smoothly

LEASE DETAILS

Initial lease term until 31 August 2030
One further right of renewal for four years
Annual rent $30,000 + GST
OPEX approximately $13,101.69 + GST per annum
No rent review until the renewal date, providing good cost certainty

This is a rare chance to step into a long-running and successful CBD takeaway business with stable income and clear upside potential through longer trading hours, delivery services, or menu expansion.

For more information or to arrange a viewing, please contact the sole listing agent Jane Tang at j.tang@barfoot.co.nz or on 021 780 661.

Read more",Jane Tang : 021780 661
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/4101458,City Centre,"For Sale $400,000Plus GST (if any)","ECLECTIC AND ICONIC K' ROAD RESTOBAR

Situated in Auckland’s vibrant and creative district, this established café, restaurant, and bar acts as a 'second living room' for locals and visitors alike. With a reputation for inclusive hospitality and an eclectic Mediterranean/Middle Eastern-influenced menu, this business perfectly captures the fringe, creative spirit of K’ Road. Ideally positioned on the new City Rail Link (CRL) path, this venue is poised for massive growth in foot traffic and city connectivity.

KEY FEATURES: 

A character-filled venue with an impressive fitout featuring a fireplace, large bar, private function room, outdoor seating, unblocked sunset view and distinct 'restobar' vibe
Licensed for 80 seated inside and 20 seated outdoors
Recently upgraded large kitchen with extraction featuring two large prep areas, three-phase power, and walk in chiller room
Liquor licence - licensed from 8am to 2am inside and until 12am outside (currently trading until 1am)
Facilities including large street frontage, four toilets, and one dedicated car park

OPERATIONS: 

Stable staffing, a dedicated team of eight (four full-time and four part-time), including a head chef with eight years of tenure at the venue
Currently open six nights from 3pm, closed on Mondays, open on Saturdays from 10am to capitalise on the bustling K’ Road markets right outside
Proven success with group bookings, happy hours, and late-night entertainment, including DJs and parties

A highly profitable opportunity offering immediate income, this business is under management and presents strong passive investment potential.

There are two other large hospitality businesses for sale individually or as a package. Whether you are an individual operator or an investor group, this is a chance to acquire something iconic for your portfolio.

To explore this rare opportunity, contact the listing agent Ruby Duan at r.duan@barfoot.co.nz or on 021 0246 8787, and strict confidentiality applies.

Read more",Ruby Duan : 021024 68787
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/90025,City Centre,"For Sale $135,000Plus GST (if any)","EXCELLENT CENTRAL CBD LOCATION

Looking for a lucrative business opportunity in one of Auckland's busiest areas? Check out this highly profitable business in a prime, central CBD location.

This business, located minutes from Auckland universities and surrounding offices, benefits from high pedestrian traffic and has established a strong reputation for its delicious food. The rent of $805 per week includes outgoings and comes with one allocated car park for your convenience. The business has an approximate weekly turnover of $12,000.

The premises is fitted with the possibility to accommodate a wide range of fast-food businesses. 

For more information or to arrange a viewing, contact the listing agent.

Read more",Jane Tang : 021780 661
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/development-site/4099465,"204 Hobson Street, City Centre",Deadline sale closes 19th March 2026 at 2:00PM(unless sold prior),"POSITIONED FOR PERFORMANCE

Strategically positioned on the high-profile Hobson Street ridge-line, the asset serves as a vital gateway between the CBD core and Auckland's major motorway networks. The location offers unparalleled accessibility via immediate access to SH1 and SH16, and easy walking distance to K' Rd and Casino train stations. Characterised by rapid intensification and proximity to the SkyCity and Convention Centre, the area remains a primary choice for high-density development and commercial activity.

The versatile 632.78m² three-level building is in functional condition, featuring a high-stud street-level workshop, mezzanine offices, and extensive basement storage. The investment is underpinned by a 506m² Fee Simple land holding, and the flexible Business - City Centre zoning ensures significant future-proofing and intensification potential for the site.

Currently returning a net rental of $155,884 per annum + GST and outgoings, with annual rental increases expiring in February 2029. The property offers a rare combination of immediate holding income and a clear pathway to vacant possession for developers or owner-occupiers, and plenty of time for investors to attract another tenant. 

This is a strategic, high-exposure investment in a prime CBD growth corridor; contact now for details.

Read more",Cam Paterson : 021451 666 | Murray Tomlinson : 0274937 927
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/hotel-slash-leisure/4040720,"3 Scotia Place, City Centre",For sale by negotiation,"CBD HOTEL INVESTMENT - NEW 10 YEAR LEASE

Ascotia Off Queen is a medium rise 3.0 - 3.5 star hotel offering 82 hotel rooms over nine levels plus ground floor reception, restaurant, two basement floors and 15 car parks. The hotel provides mid-range accommodation at very affordable rates, ensuring high occupancy levels are achieved.

The hotel is ideally situated just off Queen Street, a short walk to the Aotea Square entertainment precinct and the restaurants of Karangahape Road. The area is set to benefit from the completion of the City Rail Link with both the Aotea Station and Karangahape Station close by.

The property is managed by VR Group, a very experienced hotel operator with multiple hotels throughout Auckland. There is a new 10-year lease in place returning $1,260,000 per annum with biannual 3% fixed rental increases.

Ascotia Off Queen provides purchasers with an excellent opportunity to secure a well-performing hotel in the CBD under strong management, providing an outstanding long-term return (circa 7%) with built-in growth.

KEY FEATURES:


82 room hotel with high occupancy
New 10-year lease returning $1,260,000 per annum - circa 7% return
Managed by VR Group
Freehold land 810m²
3,296m² GFA (approx.) over 11 levels, plus 15 car parks
A+ IEP Report
Ideal CBD location just off Queen Street
Read more",John Stringer : 021758 078 | Wayne Muir : 027828 1186
