URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/apartment/11021717,"43xUnits 7 Layard Street, Avondale","$490 per week, available now","Stylish Fully-Furnished Studio Apartment in Avondale – Modern Comfort, Ultimate Convenience

43x Studios are now available at 7 Layard St, Avondale!

**Furnishings Provided**

Experience the best of city fringe living in these well presented, nearly-new furnished studio apartments, thoughtfully designed for those who value both comfort and lifestyle.
Ideal for singles, students, or busy professionals, this contemporary space puts you in the heart of vibrant Avondale.

**Why You’ll Love Living Here:**

Bright, colourful interiors with quality furnishings throughout
Spacious open-plan living – light-filled and inviting
Fully equipped kitchen with premium appliances
Bedroom and lounge furniture included!
Easy-care bathroom with separate toilet
Secure building with individual floor access, extensive CCTV coverage & gated entry
Onsite carpark available for just $15 per week

**Exclusive Resident Amenities:**

Welcoming foyer for you and your guests
Onsite laundry facilities for your convenience - or go to one of the three local laundomats
Secure bicycle storage
Lift access and main stairwell

Perfectly positioned in a sought-after city-fringe location, this modern apartment complex is just 100 metres from the Avondale Train Station, making your daily commute effortless. Avondale Primary School sits just over the fence, and you’re within easy walking distance to local shops, cafés, healthcare facilities, public transport, and beautiful green parks – everything you need, right at your doorstep.

Move in costs:
2 weeks' rent in advance
Bond - 4 weeks rent

We have a range of studios to choose from - yellow or blue-themed interiors, across four levels – ground-floor units feature private courtyards, while upper levels offer elevated views. All are approx 50–57m².

On-site parking is also available for just $15 per week (conditions apply).

Book in for a viewing through our website:
https://www.barfoot.co.nz/branches/royal-heights?tab=ForRent

Read more",Jasraj Suri : 021769 257
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/apartment/11021723,"9xUnits 7 Layard Street, Avondale","$720 per week, available now","Stylish Fully-Furnished Apartments in Avondale – Modern Comfort, Ultimate Convenience

9x 3 bed 1 bath apartments are now available at 7 Layard St, Avondale!

**Furnishings Provided**

Experience the best of city fringe living in these well presented, nearly-new furnished apartments, thoughtfully designed for those who value both comfort and lifestyle.
Ideal for singles, students, or busy professionals, this contemporary space puts you in the heart of vibrant Avondale.

**Why You’ll Love Living Here:**

Bright, colourful interiors with quality furnishings throughout
Spacious open-plan living – light-filled and inviting
Fully equipped kitchen with premium appliances
Bedroom and lounge furniture included!
Easy-care bathroom, separate toilet incl is some apartments
Secure building with individual floor access, extensive CCTV coverage & gated entry
Onsite carpark available for just $15 per week

**Exclusive Resident Amenities:**

Welcoming foyer for you and your guests
Onsite laundry facilities for your convenience - or go to one of the three local laundomats
Secure bicycle storage
Lift access and main stairwell

Perfectly positioned in a sought-after city-fringe location, this modern apartment complex is just 100 metres from the Avondale Train Station, making your daily commute effortless. Avondale Primary School sits just over the fence, and you’re within easy walking distance to local shops, cafés, healthcare facilities, public transport, and beautiful green parks – everything you need, right at your doorstep.

Move in costs:
2 weeks' rent in advance
Bond - 4 weeks rent

We have a range of apartments to choose from - yellow or blue-themed interiors, across four levels – ground-floor units feature private courtyards, while upper levels offer elevated views. All are approx 83 to 88m².

On-site parking is also available for just $15 per week (conditions apply).

Book in for a viewing through our website:
https://www.barfoot.co.nz/branches/royal-heights?tab=ForRent

Read more",Jasraj Suri : 021769 257
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11003346,"608/17 Vogel Lane, City Centre","$570 per week, available now","Two Bedroom apartment with Carpark! Whiteware included

UNFURNISHED - IMAGES ARE VIRTUALLY STAGED

This modern compact apartment hosts two bedrooms, a balcony positioned perfectly for morning coffee in the sun and a secure basement carpark making this not just practical but a sensible choice too in the heart of Auckland city centre.

- Two good sized bedrooms
- 58m2 floor area
- 1 x Carpark in the building included in rent
- Unfurnished
- Whiteware included
- Zoned for Freemans Bay School, Ponsonby Intermediate and Western Springs College
- Walking distance to Wynyard Quarter, Viaduct, Commercial Bay, supermarkets and a stone throw away from SkyCity.
- Safe & secure building!

If you are interested in booking a viewing please follow the attached link. https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11003346


Read more",Daniel Slater : 027257 5681
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11010635,"3305/10 Commerce Street, City Centre","$1,175 per week, available 27th March","Furnished two bedrooms one bathroom with one car park

3305/10 Commerce St, City Center

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

Luxury Encased In Beauty.
Explore, play and indulge. Make Auckland your playground and live your life above all others.
This vertical community will embrace world class resident's only facilities including; a heated 20 meters pool, sauna, steam room, spa, gym, media room, terrace lounge and BBQ area.
At your fingertips is a 24 Hour valet and concierge service for your comfort. A wide choice of service options will be available by contacting the Pacifica concierge desk.

2 bedroom, 1 bathroom.
Sophisticated and luxurious interior design.
89 sqm appox. floor area including 8 sqm approx. balcony.
South-East views of Skytowel and the city.
Air conditioning in the living room.
Designer kitchen with all Bosch appliances.
Double glazed windows and soundproofing to ensure a quiet enjoyment.
Great security system with 24 hour CCTV monitoring.
Open plan living room / kitchen.
One valet parking included.
Power, internet and water NOT included.

Take advantage of the Pacifica's unmatched location and lifestyle. This is your chance to live in a well-connected base all within reach of the natural beauty and unique experiences Auckland has to offer.
Wake each day to a sparkling cityscape or harbour view. Feel the city stir and bustle before you even leave your home. At the end of each day, venture home through Auckland's cultural and culinary centre. Seconds from Britomart and just minutes away from both Silo Park and the Viaduct precincts, residents of The Pacifica are set to enjoy a unique Auckland lifestyle.
Connect yourself to the best of music, theatre and the arts. Indulge in exceptional food and wine, or make the most of the great outdoors with immediate access to the not-so-far reaches this spectacular country has become famous for.
The promise of its lofty vertical lifestyle is certainly seeing The Pacifica raise the bar.
This location is hard to beat.

Available Date – 27/03/2026
Suitable for a maximum of 4 tenants.
No smokers allowed.

$1,175.00 per week.

MOVE IN COSTS:

- 4 x weeks bond = $4,700.00
- 2 x week rent in advance = $2,350.00
TOTAL: $7,050.00

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11010635

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.

https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11010635

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person.
We are currently not advertising on Facebook Marketplace.

Read more",Linda Hong : 027298 4931
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11012302,"1507/207 Federal Street, City Centre","$580 per week, available now","Penthouse Living in the Heart of the City

This peaceful penthouse apartment sitting pretty on the 15th floor with two bedrooms and a large living area, 58 sqm plus a north-east facing balcony.

The building has great shared facilities including Heated swimming pool, sauna, and gym with on-site Building Manager.

With a prime location near Sky City and Queen Street, the best of the city's offerings are at your doorstep. Shop, dine, and entertain at your leisure, and enjoy easy access to major motorways for convenient commuting.

Don't miss out on this opportunity to make this penthouse your new home. Contact us today to schedule a viewing. Your city sanctuary awaits!

AVAILABLE NOW!
Furnished.
No smokers.
Rent includes water.

The cost to move in is equivalent to:
- 1 x First week rent
- Bond (4 weeks rent)


Please register online to book a viewing or contact Ken on 027 298 5047 & k.ngan@barfoot.co.nz for the details:
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11012302


PLEASE NOTE: You MUST REGISTER for an Inspection so we can keep you up-to-date on the status of the inspections and property. Inspections may be cancelled if there are no attendees registered or confirmed.


** Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",Ken Ngan : 027298 5047
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11013742,"15/146 Fanshawe Street, City Centre","$400 per week, available 6th March","Studio apartment on Fanshawe St

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

- Furnished
- Studio
- Water included

Introducing a fantastic opportunity to live in a conveniently located furnished studio apartment in the heart of the vibrant Fanshawe St precinct.

This apartment boasts a prime location near Victoria Park, providing easy access to green spaces for relaxation and recreation. With its proximity to public transport options and being just a stone's throw away from the Motorway, commuting and getting around the city is a breeze.

Available NOW!
Suitable for a maximum of 2 tenants.
No smokers allowed.

$400.00 per week.

MOVE IN COSTS:
- 4 x weeks bond
- 2 x week rent in advance

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11013742

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11013742

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person.
We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11013746,"501/147 Victoria Street West, City Centre","$600 per week, available now","2 bedroom apartment under Skytower

Here is your opportunity to secure a great property in the sought after Ramada complex on Victoria Street West.

What his city complex offers:

Finished in 2019, only three years new building called 'Ramada Suites'
Total floor size of 56sqm approx. including a 7sqm balcony
One good-sized bedroom + one study (which can be used as a second bedroom) with both have windows to capture more lights
Full furniture is included
Open plan living and dining area has access to exterior decking
The kitchen has beautiful composite stone countertops and abundance of work space and plenty of storage
Located on the south-eastern corner of level 5, providing likely elevated CBD views.

A brilliant location where you can experience the serenity of Victoria Park and coastal walks of St Marys Bay, shopping at Commercial Bay and Waterfront dining at Wynyard Quarter. Transport is handy with Auckland Ferry Terminal, upcoming City Rail Link, motorways, with Auckland University, downtown, Queen St and supermarkets all within a walkable radius.

Move in cost
4 weeks rent as bond
1 week rent in advance


Read more",John He : 027616 1394
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11013793,"407/135 Hobson Street, City Centre","$450 per week, available now","Newly renovated One Bedroom

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

Furnished one bedroom one bathroom property.

- Furnished
- One bed
- One bathroom
- WATER INCLUDED
- Approximately 30 Sqm
- Kitchen chattels
- Complex has a lap pool

Located close to the motorway, this property offers easy access to transportation and ensures a convenient commute to work or school. Whether you're heading downtown or out of town, you'll appreciate the convenience of this prime location.

Don't miss out on this fantastic opportunity to live in a recently renovated, modern apartment with all the conveniences you need. Contact us today to arrange a viewing and secure this property as your new home.

Available Date – 27/02/2026
Suitable for a maximum of 2 tenants.
No smokers allowed.

$450.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,800.00
- 2 x week rent in advance = $900.00
TOTAL: $2,700.00

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11013793

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11013793

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11015846,"2F/92 Nelson Street, City Centre","$470 per week, available 6th March","One Bedroom at Regatta Court

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

FURNISHED One bedroom apartment in 92 Nelson Street situated in Auckland City Centre.

Furnished apartment
One bedroom
One bathroom
Approx 50 sqm.

Great location near the top of Nelson Street. Within walking distance of Queen Street and in a good place to access the motorways.

Your new apartment is a prime CBD location, with everything at your fingertips. Fabulous shopping and eating precincts such as Commercial Bay, Britomart Shops and so much more are all located within walking distance. From late night cocktails and tapas to morning coffee and sit-down meals.

Available Date – 06/03/2026
Suitable for a maximum of 1-2 tenants.
No pets or smokers allowed.

$470.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,880.00
- 2 x week rent in advance = $940.00
TOTAL: $2,820.00

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11015846

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://2apply.co.nz/Form?agentId=BT-39&uniqueId=11015846

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11016082,"206/70 Anzac Avenue, City Centre","$600 per week, available 10th March","1 bedroom+1 Study in University precinct

Welcome to your new home at Unit 206! This polished and professional 1-bedroom+1-study+1-bathroom apartment is perfectly situated in a prime location just a short stroll away from the University of Auckland, Albert Park, Auckland Art Gallery, Britomart, Supermarkets, waterfront, and Queen St.

Boasting a west-facing orientation, this unit offers stunning views and plenty of natural light throughout the day. Residents can enjoy the large rooftop terrace with dramatic harbour views and featuring barbeques and lounge furniture.

Move in cost :
4 weeks Bond plus 2 weeks rent in advance.

TO VIEW: Find the property online at https://www.barfoot.co.nz/branches/greenlane/rentals. Click the BOOK A VIEWING link and register to view. Upon registration, you will receive a confirmation email/txt with more information regarding the viewing.

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

LANDLORDS: Barfoot and Thompson Greenlane offers full property management services. Please give me a call to discuss your requirements on 021929648 or email c.chu@barfoot.co.nz

Read more",Cecilia Chu : 021929 648
